componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C11,PrimaryCuttingHead,Primary Cutting Head,3,C03,Cutting System,6,CUTTING HEAD:1,#1152,#69035,WATERJET FULL LAYOUT > WATERJET ASSY:1 > GANTRY-1:1 > CUTTING HEAD:1,0,462,"{""min"":[-1.3172797327135983,0.9397999879837036,6.039022874344498],""max"":[-1.1650031869505826,1.866899990749359,6.31842287283054]}","[-1.2411414598320905,1.4033499893665313,6.178722873587519]","[0,0.7071067811865475,0.7071067811865475]"
C12,PrimaryAbrasiveHopper,Primary Abrasive Hopper,3,C03,Abrasive Delivery,7,ABRASIVE HOPPER:1,#1153,#69036,WATERJET FULL LAYOUT > WATERJET ASSY:1 > GANTRY-1:1 > ABRASIVE HOPPER:1,0,152,"{""min"":[-1.3173414607738438,1.2065000000000001,6.674084675682692],""max"":[-1.1651885499452534,1.6636999907493593,6.8263610724340955]}","[-1.2412650053595486,1.4350999953746797,6.750222874058394]","[0.7071067811865475,0,0.7071067811865475]"
C13,SecondaryGantry,Secondary Gantry,3,C03,Motion Structure,10,GANTRY-2:1,#1163,#69033,WATERJET FULL LAYOUT > WATERJET ASSY:1 > GANTRY-2:1,3,6908,"{""min"":[-3.5465361790011123,0.48260000348091114,4.068654050122347],""max"":[-0.25876254577636715,3.004585523529804,4.529029052351557]}","[-1.9026493623887397,1.7435927635053576,4.298841551236952]","[-0.7071067811865475,0,-0.7071067811865475]"
C14,SecondaryCuttingHead,Secondary Cutting Head,3,C03,Cutting System,12,CUTTING HEAD:1,#1157,#69035,WATERJET FULL LAYOUT > WATERJET ASSY:1 > GANTRY-2:1 > CUTTING HEAD:1,0,462,"{""min"":[-1.7826712066109083,0.9397999879837036,3.8924415513502018],""max"":[-1.6303946608478925,1.866899990749359,4.171841549836244]}","[-1.7065329337294004,1.4033499893665313,4.032141550593223]","[0,0.7071067811865475,-0.7071067811865475]"
C15,SecondaryAbrasiveHopper,Secondary Abrasive Hopper,3,C03,Abrasive Delivery,13,ABRASIVE HOPPER:1,#1158,#69036,WATERJET FULL LAYOUT > WATERJET ASSY:1 > GANTRY-2:1 > ABRASIVE HOPPER:1,0,152,"{""min"":[-1.7827329346711538,1.2065000000000001,4.527503352688398],""max"":[-1.6305800238425634,1.6636999907493593,4.679779749439802]}","[-1.7066564792568586,1.4350999953746797,4.6036415510641]","[0.7071067811865475,0,-0.7071067811865475]"
C16,OverflowDrain,Catcher-Tank Overflow Drain,3,C03,Drainage,174,WATERJET OVERFLOW DRAIN:1,#1318,#69047,WATERJET FULL LAYOUT > WATERJET ASSY:1 > WATERJET OVERFLOW DRAIN:1,0,492,"{""min"":[-3.0395532775772467,0.9125767480969408,0.0063499999999945414],""max"":[-2.3064664531601324,0.9653700609147527,0.05904737914204626]}","[-2.6730098653686896,0.9389734045058468,0.0326986895710204]","[0,0,-1]"
C17,OverflowPipe,Catcher-Tank Overflow Pipe,3,C03,Drainage,175,WATERJET OVERFLOW-PIPE:1,#1319,#69048,WATERJET FULL LAYOUT > WATERJET ASSY:1 > WATERJET OVERFLOW-PIPE:1,0,208,"{""min"":[-3.0013729653937475,0.9158459344834089,-0.10795000094175311],""max"":[-2.9531129657907145,0.963754065516591,0.044450000941753665]}","[-2.977242965592231,0.9398,-0.03174999999999972]","[-0.7071067811865475,0,-0.7071067811865475]"
C18,Pump1Housing,Pump 1 Housing,3,C04,Pump Structure,177,PUMP-HOUSING:1,#1372,#69053,WATERJET FULL LAYOUT > PUMP:1 > PUMP-HOUSING:1,0,40,"{""min"":[-4.889500012159322,3.4608630019103176e-15,5.765799992752099],""max"":[-4.1274999878406256,0.9524999856948902,7.340600007247949]}","[-4.508499999999974,0.47624999284744685,6.5532000000000235]","[-3.3306690738754706e-16,-1,1.8488927466117473e-31]"
C19,Pump1WetEnd,Pump 1 Wet-End Assembly,3,C04,Pressure Generation,178,EnduroMAX WET-END ASSY:1,#1373,#69054,WATERJET FULL LAYOUT > PUMP:1 > EnduroMAX WET-END ASSY:1,51,72672,"{""min"":[-4.624387500470852,0.5548312525033996,6.15316626119616],""max"":[-4.392612499529098,0.7715250001177237,6.548843900488783]}","[-4.508499999999975,0.6631781263105616,6.351005080842471]","[3.3306690738754706e-16,1,-1.8488927466117473e-31]"
C20,PressureManifold,Pressure Manifold Assembly,3,C04,High-Pressure Flow,179,Pressure Manifold Assembly #317917:1,#1349,#69055,WATERJET FULL LAYOUT > PUMP:1 > EnduroMAX WET-END ASSY:1 > Pressure Manifold Assembly #317917:1,6,16034,"{""min"":[-4.657724999999975,0.7270750011205714,6.508888521266008],""max"":[-4.3592749999999745,0.8064499999284788,6.597511478734041]}","[-4.508499999999975,0.7667625005245251,6.553200000000024]","[1,-4.440892098500626e-16,-5.551115123125784e-16]"
C21,Pump1PressurePlumbing,Pump 1 Pressure Plumbing,3,C04,High-Pressure Flow,254,ADO SIDE OF PUMP ASSY:1,#1371,#69075,WATERJET FULL LAYOUT > PUMP:1 > EnduroMAX WET-END ASSY:1 > ADO SIDE OF PUMP ASSY:1,23,24108,"{""min"":[-4.772837800235413,0.5544439001445466,6.527800000306988],""max"":[-4.639081401156305,0.7747000002354427,6.7254627996930605]}","[-4.705959600695859,0.6645719501899947,6.626631400000024]","[-1,4.440892098500626e-16,5.551115123125784e-16]"
C22,Pump2Housing,Pump 2 Housing,3,C05,Pump Structure,285,PUMP-HOUSING:1,#1374,#69053,WATERJET FULL LAYOUT > PUMP:2 > PUMP-HOUSING:1,0,40,"{""min"":[-4.889500012159322,1.989693792382315e-16,3.0479999927520987],""max"":[-4.1274999878406256,0.9524999856948864,4.62280000724795]}","[-4.508499999999974,0.4762499928474433,3.835400000000024]","[-3.3306690738754706e-16,-1,3.697785493223495e-32]"
C23,Pump2TopCover,Pump 2 Top Cover,3,C05,Pump Guarding,286,PUMP-COVER:1,#1375,#69051,WATERJET FULL LAYOUT > PUMP:2 > PUMP-COVER:1,0,576,"{""min"":[-4.94029999017713,0.9525000000000007,2.99720002689364],""max"":[-4.02590000122783,0.9778999996930368,4.67359997310641]}","[-4.48309999570248,0.9651999998465187,3.835400000000025]","[-3.697785493223495e-32,-1.1102230246251568e-16,1]"
C24,Pump2WetEnd,Pump 2 Wet-End Assembly,3,C05,Pressure Generation,287,EnduroMAX WET-END ASSY:1,#1376,#69054,WATERJET FULL LAYOUT > PUMP:2 > EnduroMAX WET-END ASSY:1,80,112814,"{""min"":[-4.772837800235413,0.5544439001445429,3.4353662611961613],""max"":[-4.3592749999999745,0.8064499999284752,4.007662799693062]}","[-4.566056400117693,0.6804469500365091,3.721514530444612]","[3.3306690738754706e-16,1,-3.697785493223495e-32]"
C25,Pump3Housing,Pump 3 Housing,3,C06,Pump Structure,394,PUMP-HOUSING:1,#1377,#69053,WATERJET FULL LAYOUT > PUMP:3 > PUMP-HOUSING:1,0,40,"{""min"":[-4.889500012159322,1.4926142635506762e-16,0.5333999927521139],""max"":[-4.1274999878406256,0.9524999856948863,2.1082000072479645]}","[-4.508499999999974,0.4762499928474432,1.3208000000000393]","[-3.3306690738754706e-16,-1,3.697785493223495e-32]"
C26,Pump3WetEnd,Pump 3 Wet-End Assembly,3,C06,Pressure Generation,395,EnduroMAX WET-END ASSY:1,#1378,#69054,WATERJET FULL LAYOUT > PUMP:3 > EnduroMAX WET-END ASSY:1,80,112814,"{""min"":[-4.772837800235413,0.5544439001445428,0.9207662611961762],""max"":[-4.3592749999999745,0.8064499999284751,1.4930627996930765]}","[-4.566056400117693,0.6804469500365089,1.2069145304446263]","[3.3306690738754706e-16,1,-3.697785493223495e-32]"
C27,MainSplashCurtain,Main Splash Curtain,3,C07,Splash Containment,502,SPLASH-CURTAIN-EXISTING:1,#1385,#69084,WATERJET FULL LAYOUT > SPLASH-CURTAIN:1 > SPLASH-CURTAIN-EXISTING:1,0,1820,"{""min"":[-4.051300001883506,0,-0.3302000961303695],""max"":[-3.746499998116493,3.149600028991699,7.188200096130373]}","[-3.8988999999999994,1.5748000144958496,3.429000000000002]","[0,0,1]"
C28,YAxisSplashGuard,Y-Axis Splash Guard,3,C07,Splash Containment,503,Y-AXIS SPLASH GUARD:1,#1386,#69085,WATERJET FULL LAYOUT > SPLASH-CURTAIN:1 > Y-AXIS SPLASH GUARD:1,5,1560,"{""min"":[-4.079874994468689,0.6350000549316408,-0.40798599702715843],""max"":[-0.7492998859405517,3.0860999998465184,-0.06350000665187897]}","[-2.4145874402046203,1.8605500273890796,-0.23574300183951868]","[0,0,-1]"
