id,type,componentId,title,category,confidence,anchor,evidence,overview,function,relationships,inspection,safety
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3301390,component-label,C11,Handling Arm and Garage Assembly,Mechanical Handling,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.0029999999999999957,-0.01566936034009897,0.30225645784416877],""direction"":[-0.6597231941001823,0.08209913089291297,0.7470107361162097],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4250394 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250394"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Handling Arm and Garage Assembly is a distinct modeled mechanical handling element. Its shape and location help learners recognize this part of the machine.,It forms part of the modeled arm-handling mechanism without claiming a motion sequence.,It includes Handling Arm Assembly.,"Inspect the handling arm and garage assembly for attachment points, moving-path clearance, and enclosure contact edges. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3424247,component-label,C12,ROS250 Auxiliary Assembly,Machine Auxiliary,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.12999999523162842,0,0],""direction"":[-0.7534742000317494,0.1431228735528942,0.6417105834817419],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 8865780016_ROS250_ASM at occurrence path SA0138_ASM > 8865780016_ROS250_ASM"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The ROS250 Auxiliary Assembly is a distinct modeled machine auxiliary element. Its shape and location help learners recognize this part of the machine.,It provides a distinct auxiliary assembly without claiming an unsupported operating role.,It sits alongside the machine’s other major assemblies and provides a recognizable reference in the overall layout.,"Inspect the ros250 auxiliary assembly for outer form, mounting faces, and adjacent clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#43764,component-label,C13,Primary Guideway Assembly,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.3815000057220459,-0.9900000095367432,-0.40272924676537514],""direction"":[-0.08270127919164655,-0.981635738284274,-0.17190629931201912],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4246582 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4246582"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""manufacturer"",""title"":""Global Standard Model HSR LM Guide"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/us/en/products/lm_guide/full_ball/hsr/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",The Primary Guideway Assembly is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,"It includes Primary Linear Rail Set, Secondary Linear Rail Set.","Inspect the primary guideway assembly for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#33498,component-label,C14,Primary Linear Rail Set,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[3.774758488866324e-18,0.024000000208616257,-0.1700000073760748],""direction"":[0.645754892014781,-0.5805370331282269,-0.4959610595658237],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 3505121 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4246582 > 3505121"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""manufacturer"",""title"":""Global Standard Model HSR LM Guide"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/us/en/products/lm_guide/full_ball/hsr/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",The Primary Linear Rail Set is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,It sits within the Primary Guideway Assembly and connects visually with adjacent parts of that assembly.,"Inspect the primary linear rail set for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#35051,component-label,C15,Secondary Linear Rail Set,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.5799999833106994,0.02400000020861623,0.05000000074505806],""direction"":[0.5021077986100559,-0.25950536531730356,0.824951346411712],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 3505121_AF3_ASM_1 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4246582 > 3505121_AF3_ASM_1"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""manufacturer"",""title"":""Global Standard Model HSR LM Guide"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/us/en/products/lm_guide/full_ball/hsr/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",The Secondary Linear Rail Set is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,It sits within the Primary Guideway Assembly and connects visually with adjacent parts of that assembly.,"Inspect the secondary linear rail set for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#106132,component-label,C16,Slide Support Assembly,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.2454999685287476,0.042319223284721375,-0.4810093939304352],""direction"":[0.9354000670760552,0.19002150894916886,-0.2981921203700601],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4217196 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4217196"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""manufacturer"",""title"":""Global Standard Model HSR LM Guide"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/us/en/products/lm_guide/full_ball/hsr/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",The Slide Support Assembly is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,"It includes X-Axis Linear Guide Set, Secondary Linear Guide Set.","Inspect the slide support assembly for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#79965,component-label,C17,X-Axis Linear Guide Set,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.31999999999999984,0.2770000100135803,-0.027499999850988388],""direction"":[-0.3112392390523871,0.9232839882583492,-0.2251151107763487],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 044__07_THK_LINEAR_GUIDES_X_2 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4217196 > 4217491 > 044__07_THK_LINEAR_GUIDES_X_2"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""manufacturer"",""title"":""Global Standard Model HSR LM Guide"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/us/en/products/lm_guide/full_ball/hsr/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",The X-Axis Linear Guide Set is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,It sits within the Slide Support Assembly and connects visually with adjacent parts of that assembly.,"Inspect the x-axis linear guide set for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#83506,component-label,C18,Secondary Linear Guide Set,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.3400000000000001,-0.03500000014901161,-0.027499999850988346],""direction"":[-0.29294507760327676,-0.9505022285044284,-0.10357941453843672],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 3491817 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4217196 > 4217491 > 3491817"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""manufacturer"",""title"":""Global Standard Model HSR LM Guide"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/us/en/products/lm_guide/full_ball/hsr/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",The Secondary Linear Guide Set is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,It sits within the Slide Support Assembly and connects visually with adjacent parts of that assembly.,"Inspect the secondary linear guide set for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#128693,component-label,C19,Guideway Interface Assembly,Technical Interface,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.45899999141693115,-0.22735099494457245,-0.0651952475309372],""direction"":[-0.9135392262589883,-0.22326170594202702,0.3400004305085285],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4040070 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4040070"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Guideway Interface Assembly is a distinct modeled technical interface element. Its shape and location help learners recognize this part of the machine and trace the transition between adjoining guideway elements.,It provides a local interface between adjoining modeled elements.,It includes Guideway Interface Plate.,"Inspect the guideway interface assembly for interface faces, mounting regions, and adjacent clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#123437,component-label,C20,Guideway Interface Plate,Technical Interface,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0,0.002000000094994874,-0.032499998807907104],""direction"":[-0.7261623023499173,-0.1619362414429934,0.6681803381970948],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4037289_1 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343 > 4040070 > 4037289 > 4037289_1"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Guideway Interface Plate is a distinct modeled technical interface element. Its shape and location help learners recognize this part of the machine.,It provides a local interface between adjoining modeled elements.,It sits within the Guideway Interface Assembly and connects visually with adjacent parts of that assembly.,"Inspect the guideway interface plate for interface faces, mounting regions, and adjacent clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#144207,component-label,C21,Live Center,Work Support,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.1979999989271164,0,0],""direction"":[0.7754985790897032,0.13743516883581613,0.6162089971729736],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node AG_2933969_LIVE_CENTER_MK4 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4061476 > AG_2933969_LIVE_CENTER_MK4"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Live Center is a distinct modeled work support element. Its shape and location help learners recognize this part of the machine.,It supports the modeled work-side location without claiming load or speed capability.,It sits within the Live-Center Support Assembly and connects visually with adjacent parts of that assembly.,"Inspect the live center for contact surfaces, seating faces, and working clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#1939423,component-label,C22,12-Station Tool Turret Module,Tooling,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.3449999988079071,0.007500000298023224,-0.0020000040531158447],""direction"":[0.6797570552825913,0.5312820676420683,-0.5056379242061543],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4015515 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037 > 4015515"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The 12-Station Tool Turret Module is a distinct modeled tooling element. Its shape and location help learners recognize this part of the machine.,It provides the modeled tool-positioning structure without claiming indexing accuracy or tooling ratings.,It includes VDI30 12-Station Turret Head.,"Inspect the 12-station tool turret module for station faces, mounting interfaces, and nearby clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#1945645,component-label,C23,Tool Turret Interface Plate,Technical Interface,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.05000000074505806,0.009999999776482568,0],""direction"":[0.9367840123944655,0.24408025003715783,-0.25072005437125416],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4008825 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037 > 4008825"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Tool Turret Interface Plate is a distinct modeled technical interface element. Its shape and location help learners recognize this part of the machine.,It provides a local interface between adjoining modeled elements.,It sits within the 12-Station Tool Turret Assembly and connects visually with adjacent parts of that assembly.,"Inspect the tool turret interface plate for interface faces, mounting regions, and adjacent clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2214441,component-label,C24,Primary Heavy-Duty Electrical Connector Assembly,Electrical Connection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.0002500005066394806,0.006500049494206905,0.03135000169277191],""direction"":[-0.3981953508176434,0.4705252220605018,0.7874303004026004],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4209034 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037 > 4209034"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Primary Heavy-Duty Electrical Connector Assembly is a distinct modeled electrical connection element. Its shape and location help learners recognize this part of the machine.,It provides a modeled electrical connection point without claiming pin count or rating.,It sits within the 12-Station Tool Turret Assembly and connects visually with adjacent parts of that assembly.,"Inspect the primary heavy-duty electrical connector assembly for connector seating, cable entry, and mating-face condition. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2426377,component-label,C26,Secondary Heavy-Duty Electrical Connector Assembly,Electrical Connection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.013083569705486298,0,0.07167528569698334],""direction"":[-0.35804354580925135,0.44391495634882117,0.8214282262219643],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4211180 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037 > 4211180"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Secondary Heavy-Duty Electrical Connector Assembly is a distinct modeled electrical connection element. Its shape and location help learners recognize this part of the machine.,It provides a modeled electrical connection point without claiming pin count or rating.,It sits within the 12-Station Tool Turret Assembly and connects visually with adjacent parts of that assembly.,"Inspect the secondary heavy-duty electrical connector assembly for connector seating, cable entry, and mating-face condition. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2450463,component-label,C27,Filtration Unit,Fluid Conditioning,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0,-0.0625,0.0800000000745058],""direction"":[-0.5396618401137289,-0.8059443297474672,-0.243349205203079],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node AG_044__41_FILTER at occurrence path SA0138_ASM > 4246339_ASM_1 > 4037047 > 4084931 > AG_044__41_FILTER"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Filtration Unit is a distinct modeled fluid conditioning element. Its shape and location help learners recognize this part of the machine.,"It holds the modeled filtration equipment without claiming medium, rating, or replacement interval.",It sits within the Filtration Support Assembly and connects visually with adjacent parts of that assembly.,"Inspect the filtration unit for housing seams, connection points, and nearby clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2483529,component-label,C28,X-Axis Wiper,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.2097499966621399,0.16799999773502347,0.0030000000260770035],""direction"":[0.7773948336492291,0.57129594613655,-0.26320755031615606],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 044__32_WIPER_X__V4 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4247587 > 044__32_WIPER_X__V4"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The X-Axis Wiper is a distinct modeled machine protection element. Its shape and location help learners recognize this part of the machine.,It forms part of the protective outer envelope around adjacent machine elements.,It sits within the Z-Axis Sliding Guard Assembly and connects visually with adjacent parts of that assembly.,"Inspect the x-axis wiper for panel seams, protective edges, and overlap clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2559610,component-label,C29,Rail-End Support,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.4550000131130219,-0.027000000700354576,0],""direction"":[-0.03835991614451299,-0.21072000975344093,0.9767935269661117],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4028242 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4061823 > 4028242"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Rail-End Support is a distinct modeled machine structure element. Its shape and location help learners recognize this part of the machine.,It provides a substantial support path for adjacent machine elements.,It sits within the Rail-Side Support Assembly and connects visually with adjacent parts of that assembly.,"Inspect the rail-end support for major faces, structural junctions, and panel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2587245,component-label,C30,Rail Segment Assembly,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.4345000088214874,-0.011499999091029167,-0.15749999834224582],""direction"":[0.8947534347954398,-0.0862407855154449,0.4381538746096417],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4025453 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4061823 > 4025453"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Rail Segment Assembly is a distinct modeled machine structure element. Its shape and location help learners recognize this part of the machine.,It provides a substantial support path for adjacent machine elements.,It sits within the Rail-Side Support Assembly and connects visually with adjacent parts of that assembly.,"Inspect the rail segment assembly for major faces, structural junctions, and panel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
